k
PSC;NAZ_PROVOZOVNY;NAZ_ULICE;CISLO_POP;CISLO_OR;CAST_OBCE;OBEC;OKRES;KONT_TEL;TEL_BANK_PREP;TEL_POJ_PREP;FUNKCE;POSTA_PODLE_PAR.14_ODST.1;POSTA_PODLE_PAR.14_ODST.2;PO_OD1;PO_DO1;PO_OD2;PO_DO2;PO_OD3;PO_DO3;UT_OD1;UT_DO1;UT_OD2;UT_DO2;UT_OD3;UT_DO3;ST_OD1;ST_DO1;ST_OD2;ST_DO2;ST_OD3;ST_DO3;CT_OD1;CT_DO1;CT_OD2;CT_DO2;CT_OD3;CT_DO3;PA_OD1;PA_DO1;PA_OD2;PA_DO2;PA_OD3;PA_DO3;SO_OD1;SO_DO1;SO_OD2;SO_DO2;SO_OD3;SO_DO3;NE_OD1;NE_DO1;NE_OD2;NE_DO2;NE_OD3;NE_DO3;KOD_RUIAN;ZPUSOBOBSL
10000;Praha 10;Černokostelecká;2020;20;Strašnice;Praha;Hlavní město Praha;954210000;730859653;735729801;Podávací servisní;ANO;ANO;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;09:00;13:00;;;;;;;;;;;22623701;pošta má signální zařízení označené piktogramem k přivolání obsluhy, umístěné u vchodu pošty
10001;Praha 100;Vršovická;1527;68b;Vršovice;Praha;Hlavní město Praha;954210001;;;Podávací;ANO;NE;09:00;21:00;;;;;09:00;21:00;;;;;09:00;21:00;;;;;09:00;21:00;;;;;09:00;21:00;;;;;09:00;21:00;;;;;09:00;21:00;;;;;26224135;pošta má bezbarierový přístup
10004;Praha 104;Nákupní;389;3;Štěrboholy;Praha;Hlavní město Praha;954210004;733590542;;Podávací;ANO;ANO;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;18:00;;;;;09:00;18:00;;;;;25671022;pošta má bezbarierový přístup
10005;Praha 105;Litevská;1282;1;Vršovice;Praha;Hlavní město Praha;954210005;;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22670157;pošta má bezbarierový přístup
10007;Praha 107;Švehlova;1391;32;Hostivař;Praha;Hlavní město Praha;954210007;;;Podávací;ANO;NE;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;14:00;;;;;09:00;14:00;;;;;25302892;pošta má bezbarierový přístup
10100;Praha 101;Sportovní;846;22;Vršovice;Praha;Hlavní město Praha;954210100;730859654;;Podávací servisní;ANO;ANO;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;09:00;13:00;;;;;;;;;;;22664611;pošta má signální zařízení označené piktogramem k přivolání obsluhy, umístěné u vchodu pošty
10200;Praha 102;plukovníka Mráze;1182;24;Hostivař;Praha;Hlavní město Praha;954210200;;;Podávací servisní;ANO;ANO;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22694692;pošta má signální zařízení označené piktogramem k přivolání obsluhy, umístěné u vchodu pošty
10300;Praha 113;K poště;416;3;Kolovraty;Praha;Hlavní město Praha;954210300;;;Podávací;ANO;ANO;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22582398;pošta má bezbarierový přístup
10400;Praha 114;Nové náměstí;1370;11;Uhříněves;Praha;Hlavní město Praha;954210400;;;Podávací servisní;ANO;ANO;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;27222136;pošta má signální zařízení označené piktogramem k přivolání obsluhy, umístěné u vchodu pošty
10600;Praha 106;Malinová;1739;1;Záběhlice;Praha;Hlavní město Praha;954210600;;;Podávací servisní;ANO;ANO;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;;;;;;;;;;;;;22678352;pošta má bezbarierový přístup
10700;Praha 112;Za pavilónem;666;0;Dubeč;Praha;Hlavní město Praha;954210700;;;Podávací servisní;ANO;ANO;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;28339274;pošta má bezbarierový přístup
10800;Praha 108;Počernická;518;55;Malešice;Praha;Hlavní město Praha;954210800;730859655;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22590986;pošta má bezbarierový přístup
10900;Praha 111;Veronské nám.;403;0;Horní Měcholupy;Praha;Hlavní město Praha;954210900;;;Podávací servisní;ANO;ANO;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;09:00;13:00;;;;;;;;;;;25380991;pošta má bezbarierový přístup
11000;Praha 1;Jindřišská;909;14;Nové Město;Praha;Hlavní město Praha;604221504;730859651;735729802;Podávací servisní;ANO;ANO;02:00;24:00;;;;;02:00;24:00;;;;;02:00;24:00;;;;;02:00;24:00;;;;;02:00;24:00;;;;;02:00;24:00;;;;;02:00;24:00;;;;;21707138;pošta má bezbarierový přístup
11001;Praha 01;Kaprova;40;12;Staré Město;Praha;Hlavní město Praha;954211001;730859744;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;21715050;pošta má bezbarierový přístup
11002;Praha 02;Na Florenci;2116;15;Nové Město;Praha;Hlavní město Praha;954211002;;;Podávací;ANO;NE;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;;;;;;;;;;;;;42793335;pošta má bezbarierový přístup
11005;Praha 05;Rybná;682;14;Staré Město;Praha;Hlavní město Praha;954211005;;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22725873;pošta má bezbarierový přístup
11101;Dolní Měcholupy;Dolnoměcholupská;168;37;Dolní Měcholupy;Praha;Hlavní město Praha;272705481;;;Samostatná pošta Partner;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22550151;pošta má bezbarierový přístup
11800;Praha 011;Josefská;641;4;Malá Strana;Praha;Hlavní město Praha;954211800;;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;78982456;pošta má bezbarierový přístup
11900;Praha 012;Hrad III. nádvoří;48;2;Hradčany;Praha;Hlavní město Praha;954211900;;;Podávací;ANO;NE;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;10:00;18:00;;;;;10:00;18:00;;;;;21690731;pošta má signální zařízení označené piktogramem k přivolání obsluhy, umístěné u vchodu pošty
12000;Praha 2;Moravská;1530;9;Vinohrady;Praha;Hlavní město Praha;954212000;730859584;735729803;Podávací servisní;ANO;ANO;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;09:00;13:00;;;;;;;;;;;21754551;pošta má bezbarierový přístup
12003;Praha 23;Bruselská;519;18;Vinohrady;Praha;Hlavní město Praha;954212003;;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;21744726;pošta má bezbarierový přístup
12004;Praha 24;Italská;384;3;Vinohrady;Praha;Hlavní město Praha;954212004;;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;21743266;pošta má bezbarierový přístup
12800;Praha 28;Karlovo náměstí;2097;10;Nové Město;Praha;Hlavní město Praha;954212800;730859585;;Podávací;ANO;NE;08:00;20:00;;;;;08:00;20:00;;;;;08:00;20:00;;;;;08:00;20:00;;;;;08:00;20:00;;;;;09:00;17:00;;;;;09:00;17:00;;;;;25642766;pošta má bezbarierový přístup
13000;Praha 3;Olšanská;38;9;Žižkov;Praha;Hlavní město Praha;954213000;730859586;735729804;Podávací servisní;ANO;ANO;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;09:00;13:00;;;;;;;;;;;21767483;pošta má bezbarierový přístup
13001;Praha 31;Chrudimská;2526;2a;Vinohrady;Praha;Hlavní město Praha;954213001;720742206;;Podávací;ANO;NE;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;08:00;18:00;;;;;;;;;;;;;;;;;25166263;pošta má bezbarierový přístup
